,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
1,202058,James,Williams,60  ,0021600392
2,202056,CJ,Washington,53  ,0021600392
0,1662,Bill,Kennedy,55  ,0021700522
1,2004,Courtney,Kirkland,61  ,0021700522
2,201246,Kevin,Cutler,34  ,0021700522
0,1146,Tony,Brothers,25  ,0021700958
1,2148,Mark,Ayotte,56  ,0021700958
2,202056,CJ,Washington,12  ,0021700958
0,101284,John,Goble,30  ,0021800602
1,204058,Gediminas,Petraitis,50  ,0021800602
2,1628953,Ashley,Moyer-Gleich,75  ,0021800602
0,2882,Sean,Wright,4   ,0021600340
1,202026,Karl,Lane,77  ,0021600340
2,203592,Dedric,Taylor,21  ,0021600340
0,1162,Scott,Foster,48  ,0021601078
1,2529,Tony,Brown,6   ,0021601078
2,202053,Scott,Twardoski,52  ,0021601078
0,2001,Jason,Phillips,23  ,0021700848
1,204058,Gediminas,Petraitis,50  ,0021700848
2,1627962,Jacyn,Goble,68  ,0021700848
0,1188,Leroy,Richardson,20  ,0021701041
1,1664,Gary,Zielinski,59  ,0021701041
2,2715,Eric,Lewis,42  ,0021701041
0,2001,Jason,Phillips,23  ,0021800572
1,202053,Scott,Twardoski,52  ,0021800572
2,202901,Matt,Myers,43  ,0021800572
0,1148,James,Capers,19  ,0021801202
1,202026,Karl,Lane,77  ,0021801202
2,1628159,Mousa,Dagher,57  ,0021801202
0,1195,Derrick,Stafford,9   ,0021600415
1,1664,Gary,Zielinski,59  ,0021600415
2,203591,Mitchell,Ervin,27  ,0021600415
0,2004,Courtney,Kirkland,61  ,0021700477
1,2534,Zach,Zarba,15  ,0021700477
2,1627964,Jonathan,Sterling,17  ,0021700477
0,2714,David,Guthrie,16  ,0021800325
1,202027,Tre,Maddox,73  ,0021800325
2,202056,CJ,Washington,12  ,0021800325
0,2002,Derrick,Collins,11  ,0021600451
1,2715,Eric,Lewis,42  ,0021600451
2,203593,Justin,Van Duyne,64  ,0021600451
0,200834,Mark,Lindsay,29  ,0021700612
1,202041,Kevin,Scott,28  ,0021700612
2,1626302,Aaron,Smith,51  ,0021700612
0,1830,Marc,Davis,8   ,0021800214
1,2148,Mark,Ayotte,56  ,0021800214
2,203593,Justin,Van Duyne,64  ,0021800214
0,2534,Zach,Zarba,15  ,0021600468
1,201638,Brent,Barnaky,36  ,0021600468
2,203592,Dedric,Taylor,21  ,0021600468
0,1193,Michael,Smith,38  ,0021701120
1,2715,Eric,Lewis,42  ,0021701120
2,202037,J.T.,Orr,72  ,0021701120
0,2148,Mark,Ayotte,56  ,0021800522
1,201245,Marat,Kogut,32  ,0021800522
2,1626302,Aaron,Smith,51  ,0021800522
0,1195,Derrick,Stafford,9   ,0021600530
1,202026,Karl,Lane,77  ,0021600530
2,203177,Lauren,Holtkamp,7   ,0021600530
0,1199,Tom,Washington,49  ,0021600867
1,2004,Courtney,Kirkland,61  ,0021600867
2,1204,Derek,Richardson,63  ,0021600867
0,2005,Matt,Boland,18  ,0021700355
1,101284,John,Goble,30  ,0021700355
2,202037,J.T.,Orr,72  ,0021700355
0,1199,Tom,Washington,49  ,0021700811
1,2005,Matt,Boland,18  ,0021700811
2,1627964,Jonathan,Sterling,17  ,0021700811
0,1148,James,Capers,19  ,0021801046
1,101283,Brian,Forte,45  ,0021801046
2,202056,CJ,Washington,12  ,0021801046
0,1193,Michael,Smith,38  ,0021801181
1,2001,Jason,Phillips,23  ,0021801181
2,2002,Derrick,Collins,11  ,0021801181
0,1830,Marc,Davis,8   ,0021600539
1,2005,Matt,Boland,18  ,0021600539
2,202035,Brett,Nansel,44  ,0021600539
0,1179,Rodney,Mott,71  ,0021700195
1,1199,Tom,Washington,49  ,0021700195
2,1201,Leon,Wood,40  ,0021700195
0,1146,Tony,Brothers,25  ,0021801113
1,200833,Eric,Dalen,37  ,0021801113
2,203591,Mitchell,Ervin,27  ,0021801113
