origin,TEAM_ABBREVIATION_x,destination,TEAM_ABBREVIATION_y,distance_miles
Chicago Bulls,CHI,Los Angeles,LAL,2016.18
Cleveland Cavaliers,CLE,Los Angeles,LAL,2346.66
Dallas Mavericks,DAL,Los Angeles,LAL,1437.7
Denver Nuggets,DEN,Los Angeles,LAL,1019.3
Detroit Pistons,DET,Los Angeles,LAL,2283.41
Golden State Warriors,GSW,Los Angeles,LAL,367.92
Houston Rockets,HOU,Los Angeles,LAL,1548.83
Indiana Pacers,IND,Los Angeles,LAL,2078.3
Los Angeles Lakers,LAL,Los Angeles,LAL,0
Los Angeles Clippers,LAC,Los Angeles,LAL,0
Memphis Grizzlies,MEM,Los Angeles,LAL,1797.94
Miami Heat,MIA,Los Angeles,LAL,2731.88
Milwaukee Bucks,MIL,Los Angeles,LAL,2058.72
Minnesota Timberwolves,MIN,Los Angeles,LAL,1930.83
New Orleans Pelicans,NOP,Los Angeles,LAL,1893.04
New York Knicks,NYK,Los Angeles,LAL,2794.59
Oklahoma City Thunder,OKC,Los Angeles,LAL,1331.81
Orlando Magic,ORL,Los Angeles,LAL,2508.22
Philadelphia 76ers,PHI,Los Angeles,LAL,2714.24
Phoenix Suns,PHX,Los Angeles,LAL,374.24
Portland Trailblazers,POR,Los Angeles,LAL,965.76
Sacramento Kings,SAC,Los Angeles,LAL,386.02
San Antonio Spurs,SAS,Los Angeles,LAL,1359.05
Toronto Raptors,TOR,Los Angeles,LAL,2520.82
Utah Jazz,UTA,Los Angeles,LAL,691.96
Washington Wizards,WAS,Los Angeles,LAL,2672.72
Atlanta Hawks,ATL,Los Angeles,LAC,2178.97
Boston Celtics,BOS,Los Angeles,LAC,2986.21
Brooklyn Nets,BKN,Los Angeles,LAC,2795.25
Charlotte Hornets,CHA,Los Angeles,LAC,2423.84
Chicago Bulls,CHI,Los Angeles,LAC,2016.18
Cleveland Cavaliers,CLE,Los Angeles,LAC,2346.66
Dallas Mavericks,DAL,Los Angeles,LAC,1437.7
Denver Nuggets,DEN,Los Angeles,LAC,1019.3
Detroit Pistons,DET,Los Angeles,LAC,2283.41
Golden State Warriors,GSW,Los Angeles,LAC,367.92
Houston Rockets,HOU,Los Angeles,LAC,1548.83
Indiana Pacers,IND,Los Angeles,LAC,2078.3
